HostCountry,TournamentYear,TournamentID
China,1998,1
China,2005,2
Mongolia,2001,3
Iran,1994,4
Kazakhstan,2012,5
Brazil,1991,6
Japan,2007,7
Philippines,1986,8
Argentina,2006,9
Madagascar,2004,10
Kenya,2009,11
Portugal,1984,12
Nicaragua,2008,13
Philippines,2002,14
Indonesia,2012,15
Burundi,2001,16
Brazil,1989,17
Norway,1992,18
Colombia,2013,19
Iran,2005,20
Russia,2011,21
Lithuania,2001,22
China,1994,23
Nepal,2004,24
Argentina,1993,25
Indonesia,2006,26
Guatemala,2009,27
Philippines,2003,28
China,2002,29
Argentina,1985,30
Guatemala,1987,31
France,1993,32
France,1988,33
China,2010,34
Portugal,1998,35
China,2009,36
Japan,2002,37
Indonesia,2011,38
China,1996,39
Tunisia,1997,40
Brazil,2004,41
Russia,1992,42
Gambia,1995,43
Canada,1984,44
Brazil,2002,45
Japan,1997,46
Iran,2006,47
Ireland,2007,48
Brazil,2011,49
Nepal,2001,50
France,2001,51
Philippines,2003,52
Philippines,2009,53
Thailand,1992,54
Brazil,2010,55
Spain,1955,56
Indonesia,1990,57
Greece,2010,58
Argentina,1987,59
Portugal,1999,60
Albania,1999,61
Venezuela,2007,62
Brazil,2005,63
Russia,1990,64
Grenada,2009,65
United States,1998,66
Morocco,2000,67
China,2002,68
Indonesia,1981,69
Albania,2010,70
Colombia,2003,71
Liechtenstein,1995,72
Philippines,2009,73
Greece,1996,74
China,2007,75
Poland,1999,76
Russia,2001,77
Brazil,1993,78
Turkmenistan,2002,79
Portugal,1987,80
China,2009,81
Russia,2006,82
China,2010,83
Ecuador,1993,84
Laos,1995,85
Thailand,1970,86
Indonesia,2011,87
North Korea,2004,88
Philippines,1994,89
Japan,2004,90
Mauritius,2002,91
Philippines,2006,92
Indonesia,2006,93
Czech Republic,2004,94
Lithuania,2007,95
China,1992,96
Brazil,2012,97
China,2010,98
Portugal,2008,99
Indonesia,2011,100
China,2005,101
South Africa,2007,102
China,2007,103
Indonesia,2010,104
Albania,2008,105
China,1998,106
Indonesia,2008,107
Portugal,2003,108
Philippines,2002,109
China,1999,110
Germany,2011,111
South Korea,2008,112
Czech Republic,1986,113
Macedonia,1996,114
Pakistan,1996,115
China,2003,116
Mongolia,2005,117
Croatia,2008,118
United States,1999,119
Poland,2000,120
China,2012,121
Zimbabwe,2004,122
Peru,1969,123
Portugal,1996,124
Belarus,2003,125
Syria,2003,126
Sweden,1997,127
Greece,2011,128
China,2001,129
Brazil,1986,130
San Marino,1985,131
Sweden,2009,132
Thailand,1997,133
China,1998,134
Sweden,2001,135
China,2001,136
Morocco,2004,137
Armenia,2005,138
Indonesia,1998,139
Vietnam,2007,140
Ukraine,2001,141
Poland,1993,142
China,2001,143
Philippines,2000,144
Poland,1995,145
Russia,1994,146
Russia,1993,147
China,2005,148
Indonesia,1985,149
Sweden,1990,150
China,1988,151
Russia,1993,152
France,2012,153
Russia,1988,154
Chile,2010,155
United States,2006,156
Czech Republic,1999,157
China,2002,158
Canada,2001,159
Indonesia,2004,160
Peru,1993,161
Indonesia,2003,162
Russia,1994,163
China,2005,164
South Africa,1992,165
United States,2000,166
China,1997,167
China,2008,168
Portugal,2009,169
Malaysia,2008,170
Finland,2012,171
Philippines,1996,172
China,2005,173
Kenya,2010,174
Syria,2003,175
Serbia,1988,176
Japan,1995,177
Taiwan,1994,178
China,2012,179
Russia,2007,180
China,2001,181
Indonesia,2009,182
Zambia,1985,183
Russia,2003,184
Philippines,2009,185
Indonesia,2010,186
Israel,1995,187
China,1997,188
China,2003,189
Paraguay,2007,190
Russia,2001,191
Japan,1993,192
Philippines,2009,193
Macedonia,2004,194
Indonesia,1997,195
Peru,2004,196
Sweden,2004,197
Bolivia,1993,198
Philippines,2002,199
Russia,2004,200
China,1996,201
Honduras,1996,202
Indonesia,2004,203
Russia,2009,204
Ethiopia,1992,205
Finland,1994,206
Ukraine,2009,207
Mongolia,1996,208
Greece,1998,209
China,1992,210
Serbia,2009,211
United States,1986,212
Canada,2008,213
Philippines,2007,214
Czech Republic,1998,215
Indonesia,2009,216
China,2007,217
China,2013,218
South Korea,2007,219
China,2011,220
Indonesia,2009,221
China,1967,222
Poland,2007,223
Belarus,1995,224
Ethiopia,2000,225
Greece,2000,226
Indonesia,1996,227
Nepal,2009,228
Portugal,1998,229
China,2009,230
Philippines,2002,231
China,1995,232
Indonesia,2009,233
Brazil,1997,234
Greece,1994,235
China,2009,236
Italy,1991,237
Japan,1998,238
Afghanistan,1987,239
Portugal,1998,240
Brazil,1987,241
Palestinian Territory,2007,242
Russia,2005,243
Portugal,2001,244
China,2012,245
Sweden,2011,246
Indonesia,2006,247
Sweden,2000,248
Ireland,1986,249
Russia,2007,250
China,2006,251
United States,2005,252
China,2009,253
Russia,1958,254
United States,1995,255
Libya,1997,256
Poland,1994,257
Indonesia,2001,258
China,1986,259
Bolivia,2012,260
Lithuania,1997,261
Japan,2006,262
China,1990,263
Mexico,2009,264
Indonesia,1992,265
Moldova,2012,266
Philippines,1999,267
Sweden,2011,268
China,1999,269
China,2002,270
Indonesia,1994,271
Russia,2000,272
Central African Republic,2001,273
Yemen,1994,274
China,2006,275
Egypt,1984,276
China,1969,277
Peru,2004,278
China,2010,279
France,1999,280
Peru,2011,281
United States,2006,282
Iran,2002,283
Bulgaria,2001,284
Madagascar,1990,285
China,1998,286
Peru,1992,287
